title,grade,genre,people
10억,6.26,"모험, 스릴러",433866
18: 우리들의 성장 느와르,9.63,"느와르, 드라마",1124
1987,9.31,드라마,7232387
"1991, 봄",9.29,다큐멘터리,6106
"1999, 면회",8.67,드라마,3405
1급기밀,8.87,드라마,218808
1번가의 기적,8.19,"코미디, 드라마",2535450
2009 로스트 메모리즈,8.06,"SF, 액션",856150
26년,6.4,액션,2963652
4요일,4.57,"공포, 스릴러",26962
4인용 식탁,6.38,"스릴러, 공포","717,494"
5백만불의 사나이,4.99,코미디,104736
7광구,3.34,"SF, 액션, 모험",2242510
7급 공무원,8.28,"액션, 코미디",4039891
7번방의 선물,8.83,코미디,12811714
8월의 크리스마스,9,"드라마, 멜로/로맨스","28,146"
가려진 시간,8.25,"드라마, 판타지",511369
가루지기,4.26,"코미디, 드라마",269478
가문의 영광,6.06,코미디,1160021
가문의 영광,6.06,코미디,1160021
가문의 위기,6.29,코미디,4529876
가문의 부활,3.98,코미디,2598859
가문의 수난,4.15,"코미디, 액션",2368267
가문의 귀환,6.06,코미디,1160021
가비,6.85,"미스터리, 드라마",270602
가슴 달린 남자,7.56,"코미디, 멜로/로맨스","128,334"
가위,7.21,"공포, 스릴러","334,364"
가을로,7.19,"멜로/로맨스, 드라마",601733
가을비 우산속에,0,"멜로/로맨스, 드라마","159,335"
가족의 탄생,8.57,드라마,201227
각설탕,8.84,"드라마, 가족",1265508
간기남,6.9,"스릴러, 코미디",1246185
간신,7.05,드라마,1110274
간첩,7.17,"드라마, 코미디, 액션",1310895
간첩 리철진,7.03,"드라마, 코미디","172,474"
간기남,6.9,"스릴러, 코미디",1246185
감기,6.94,"드라마, 모험, 액션",3117859
감시자들,7.76,"범죄, 액션, 스릴러",5509019
강남1970,7.76,"액션, 드라마",2192276
강변부인,0,1981.01.01. 개봉,"28,632"
강원도의 힘,6.94,드라마,"15,967"
강철대오: 구국의 철가방,6.45,코미디,233211
강철비,8.73,"액션, 드라마",4452850
개그맨,7.6,코미디,"33,944"
개들의 전쟁,7.29,"액션, 드라마, 코미디",23398
개를 훔치는 완벽한 방법,8.79,"드라마, 가족",306904
거룩한 계보,7.52,"드라마, 액션",1433696
거북이 달린다,8.42,"범죄, 코미디, 액션",3024666
거울 속으로,7.08,"공포, 스릴러","719,234"
거짓말,9.14,드라마,5212
건축무한육면각체의 비밀,6.45,미스터리,"177,729"
건축학개론,9.5,멜로/로맨스,4113708
걷기왕,8.52,드라마,95542
걸프렌즈,4.91,"멜로/로맨스, 코미디",108396
검사외전,8.56,"범죄, 코미디",9707119
검은 사제들,8.55,"미스터리, 드라마",5443232
검은 집,6.45,"공포, 스릴러",1322196
게임의 법칙,8.98,"액션, 느와르","133,872"
겨울여자,8.33,"드라마, 멜로/로맨스","586,147"
결정적 한방,6.24,"드라마, 코미디",60944
"결혼은, 미친 짓이다",8.55,"드라마, 멜로/로맨스","422,939"
결혼전야,7.02,"멜로/로맨스, 코미디",1214839
경계,7,다큐멘터리,1130
경성학교: 사라진 소녀들,6.44,"미스터리, 드라마",356436
고고70,8.02,드라마,595199
고교얄개,8.64,코미디,"258,978"
고래사냥,9.06,드라마,"426,221"
고死: 피의 중간고사,6.82,"공포, 스릴러",1634192
고死: 피의 중간고사,6.82,"공포, 스릴러",1634192
고死 두번째 이야기: 교생실습,4.73,"공포, 스릴러",857038
"고산자, 대동여지도",8.01,드라마,974262
고속도로,7.71,드라마,"26,174"
고양이를 부탁해,10,"드라마, 코미디","24,182"
고지전,8.66,"전쟁, 드라마",2945151
곡성,8.22,"미스터리, 스릴러",6879989
곤지암,7.51,"공포, 미스터리",2676427
골든 슬럼버,6.27,"범죄, 드라마",1387564
공공의 적,9.2,"범죄, 액션","1,161,500"
공공의 적2,7.49,"드라마, 범죄",3134424
강철중: 공공의 적 1-1,8.53,"범죄, 스릴러, 코미디",4313102
공동경비구역 JSA,9.8,"드라마, 전쟁, 코미디","2,513,540"
공모자들,7.01,"범죄, 스릴러",1646142
공범,7.15,스릴러,1766285
공범자들,9.61,다큐멘터리,260514
공작,7.86,드라마,4975517
공정사회,10,드라마,14537
공조,8.83,액션,7817654
공포의 외인구단,7.61,드라마,"287,712"
과속스캔들,9.19,코미디,8223342
관능의 법칙,7.64,"드라마, 코미디",781516
관상,8,드라마,9135806
광복절 특사,7.96,"코미디, 멜로/로맨스","3,101,900"
광식이 동생 광태,7.79,"멜로/로맨스, 코미디",2024818
"광해, 왕이 된 남자",9.24,드라마,12324062
괴물,8.62,"모험, 액션, 스릴러",10917400
괴시,7.59,"SF, 공포, 미스터리","12,643"
구르믈 버서난 달처럼,6.84,"드라마, 액션",1383867
구미호,5.21,"공포, 멜로/로맨스","174,797"
구미호 가족,5.52,"뮤지컬, 판타지",141610
구세주: 리턴즈,4.8,코미디,6151
구타유발자들,7.51,"코미디, 범죄",143061
국가대표,8.79,드라마,710166
국가대표 2,8.79,드라마,710166
국제시장,9.16,드라마,14263940
군도: 민란의 시대,7.34,액션,4775811
군함도,7.35,"액션, 드라마",6592168
굿모닝 프레지던트,6.7,코미디,2554960
굿바이 싱글,8.42,"코미디, 드라마",2108561
궁합,7.49,"코미디, 드라마",1340149
귀신이 산다,6.88,"코미디, 공포, 판타지",1875936
귀여워,5.03,코미디,51276
귀향,9.33,드라마,3587252
그것만이 내 세상,9.17,"코미디, 드라마",3420199
그날의 분위기,7.86,"멜로/로맨스, 코미디",653226
그녀를 믿지 마세요,8.85,"코미디, 멜로/로맨스",298221
그놈 목소리,7.46,"드라마, 미스터리",2972299
그놈이다,7.53,스릴러,1046313
그대를 사랑합니다,9.33,드라마,1649407
그대 안의 블루,8.21,멜로/로맨스,"153,184"
그때 그 사람들,7.46,"미스터리, 코미디",890602
그럼에도 불구하고,8.85,다큐멘터리,1607
그림자 살인,7.34,스릴러,1892467
그물,8.37,드라마,56553
그해 여름,8.83,"멜로/로맨스, 드라마",290564
극락도 살인사건,6.93,"미스터리, 스릴러",2079989
극비수사,8.35,"드라마, 범죄",2860786
극한직업,9.2,코미디,16266240
글러브,8.84,드라마,1887733
글로리데이,8.55,드라마,189442
기담,7.48,공포,644111
기방도령,7.07,코미디,287053
기술자들,7.91,"범죄, 액션",2564340
기생충,9.07,드라마,10307053
기억의 밤,8.41,"미스터리, 스릴러",1387779
긴급조치 19호,4.62,코미디,"40,960"
김관장 대 김관장 대 김관장,4.56,"코미디, 액션",925661
김복남 살인 사건의 전말,8.74,스릴러,161722
김씨 표류기,8.73,드라마,725031
김종욱 찾기,8.28,"멜로/로맨스, 코미디",1122225
까불지마,7.1,"코미디, 액션",155308
깡패수업,7.24,"범죄, 액션, 코미디","176,757"
꽃순이를 아시나요,0,드라마,"216,628"
꽃잎,7.66,드라마,"213,979"
꾼,8.32,범죄,4018341
꿈의 제인,8.87,드라마,25110
끝까지 간다,8.83,"범죄, 액션",3450381
나가요 미스콜,3.03,"멜로/로맨스, 코미디",338
나는 77번 아가씨,0,"멜로/로맨스, 드라마","217,249"
나는 고양이로소이다,9.34,다큐멘터리,8496
나는 왕이로소이다,7.42,"드라마, 코미디",790181
나를 잊지 말아요,6.72,멜로/로맨스,427113
나의 독재자,7.37,드라마,386074
나의 사랑 나의 신부(1990),8.09,"멜로/로맨스, 코미디","187,116"
나의 사랑 나의 신부(2014),8.39,"멜로/로맨스, 코미디",2141155
나의 절친 악당들,5.48,"액션, 범죄, 드라마",133555
나의 PS 파트너,8.24,"멜로/로맨스, 코미디",1831741
나쁜남자,3.35,드라마,"298,926"
나쁜 녀석들: 더 무비,8.16,"범죄, 액션",4573903
나쁜놈은 죽는다,6.73,"액션, 코미디",14951
나쁜 피,6.68,범죄,1341
나탈리,4.75,멜로/로맨스,94875
나랏말싸미,6.75,드라마,958775
낙동강은 흐르는가,0,1976.10.23. 개봉,493
남과 여,7.56,멜로/로맨스,203729
남극일기,5.5,"미스터리, 공포",871235
남부군,7.25,"전쟁, 드라마","324,169"
남영동1985,7.23,드라마,332643
남자가 사랑할 때,8.48,드라마,1980120
남자사용설명서,6.97,"멜로/로맨스, 코미디",507913
남쪽으로 튀어,7.81,"드라마, 코미디",832894
남한산성,8.17,드라마,3849129
너는 내 운명,9.07,"멜로/로맨스, 드라마",2701974
넘버 3,8.46,"코미디, 범죄, 액션","297,617"
내가 버린 남자,0,드라마,"239,718"
내가 살인범이다,8.48,"액션, 스릴러",2729830
내 깡패 같은 애인,9.06,"코미디, 드라마",688639
내 마음의 풍금,8.91,"드라마, 멜로/로맨스","148,494"
내 머리속의 지우개,9.09,"멜로/로맨스, 코미디",1887868
내부자들,9.06,"범죄, 드라마",7073581
내사랑 내곁에,7.03,드라마,2135509
내 아내의 모든것,8.57,"멜로/로맨스, 코미디",4598985
내 여자친구를 소개합니다,6.33,멜로/로맨스,1298666
