title,grade,genre,people,genre2
10억,6.26,"모험, 스릴러",433866,모험
18: 우리들의 성장 느와르,9.63,"느와르, 드라마",1124,느와르
1987,9.31,드라마,7232387,드라마
"1991, 봄",9.29,다큐멘터리,6106,다큐멘터리
"1999, 면회",8.67,드라마,3405,드라마
1급기밀,8.87,드라마,218808,드라마
1번가의 기적,8.19,"코미디, 드라마",2535450,코미디
2009 로스트 메모리즈,8.06,"SF, 액션",856150,SF
26년,6.4,액션,2963652,액션
4요일,4.57,"공포, 스릴러",26962,"공포, 스릴러"
4인용 식탁,6.38,"스릴러, 공포","717,494",스릴러
5백만불의 사나이,4.99,코미디,104736,코미디
7광구,3.34,"SF, 액션, 모험",2242510,SF
7급 공무원,8.28,"액션, 코미디",4039891,액션
7번방의 선물,8.83,코미디,12811714,코미디
8월의 크리스마스,9,"드라마, 멜로/로맨스","28,146",멜로/로맨스
가려진 시간,8.25,"드라마, 판타지",511369,판타지
가루지기,4.26,"코미디, 드라마",269478,코미디
가문의 영광,6.06,코미디,1160021,코미디
가문의 영광,6.06,코미디,1160021,코미디
가문의 위기,6.29,코미디,4529876,코미디
가문의 부활,3.98,코미디,2598859,코미디
가문의 수난,4.15,"코미디, 액션",2368267,코미디
가문의 귀환,6.06,코미디,1160021,코미디
가비,6.85,"미스터리, 드라마",270602,미스터리
가슴 달린 남자,7.56,"코미디, 멜로/로맨스","128,334",로맨틱코미디
가위,7.21,"공포, 스릴러","334,364","공포, 스릴러"
가을로,7.19,"멜로/로맨스, 드라마",601733,멜로/로맨스
가을비 우산속에,0,"멜로/로맨스, 드라마","159,335",멜로/로맨스
가족의 탄생,8.57,드라마,201227,드라마
각설탕,8.84,"드라마, 가족",1265508,드라마
간기남,6.9,"스릴러, 코미디",1246185,스릴러
간신,7.05,드라마,1110274,드라마
간첩,7.17,"드라마, 코미디, 액션",1310895,코미디
간첩 리철진,7.03,"드라마, 코미디","172,474",코미디
