team,cp1,cp2,cp3,cp4,cp5,pl1,pl2,pl3,pl4,pl5,score,date,stage,title
진에어 그린윙스,오른,자르반 4세,조이,케이틀린,탐 켄치,Jin Air SoHwan,Jin Air UmTi,Jin Air Grace,Jin Air Teddy,Jin Air Wraith,0,2018.02.10,2018 LCK 스프링 정규 시즌,19일차 1경기 1세트
킹존 드래곤X,나르,잭스,라이즈,이즈리얼,브라움,KZ Khan,KZ Peanut,KZ BDD,KZ PraY,KZ GorillA,1,2018.02.10,2018 LCK 스프링 정규 시즌,19일차 1경기 1세트
진에어 그린윙스,나르,자르반 4세,아지르,이즈리얼,탐 켄치,Jin Air SoHwan,Jin Air UmTi,Jin Air Justice,Jin Air Teddy,Jin Air Wraith,0,2018.02.10,2018 LCK 스프링 정규 시즌,19일차 1경기 2세트
킹존 드래곤X,갱플랭크,카직스,라이즈,자야,라칸,KZ Khan,KZ Peanut,KZ BDD,KZ PraY,KZ GorillA,1,2018.02.10,2018 LCK 스프링 정규 시즌,19일차 1경기 2세트
MVP,초가스,세주아니,아지르,이즈리얼,타릭,MVP ADD,MVP Beyond,MVP Ian,MVP Pilot,MVP Max,1,2018.02.10,2018 LCK 스프링 정규 시즌,19일차 2경기 1세트
bbq olivers,블라디미르,잭스,갈리오,칼리스타,라칸,bbq Crazy,bbq Bono,bbq Tempt,bbq Ghost,bbq IgNar,0,2018.02.10,2018 LCK 스프링 정규 시즌,19일차 2경기 1세트
MVP,초가스,자크,조이,이즈리얼,잔나,MVP ADD,MVP Beyond,MVP Ian,MVP Pilot,MVP Max,1,2018.02.10,2018 LCK 스프링 정규 시즌,19일차 2경기 2세트
bbq olivers,오른,카직스,갈리오,케이틀린,탐 켄치,bbq Crazy,bbq Bono,bbq Tempt,bbq Ghost,bbq IgNar,0,2018.02.10,2018 LCK 스프링 정규 시즌,19일차 2경기 2세트
KSV,오른,카밀,카시오페아,이즈리얼,브라움,KSV CuVee,KSV Haru,KSV Crown,KSV Ruler,KSV CoreJJ,0,2018.02.11,2018 LCK 스프링 정규 시즌,20일차 1경기 1세트
SKT T1,블라디미르,자르반 4세,갈리오,바루스,타릭,SKT T1 Thal,SKT T1 Blossom,SKT T1 Faker,SKT T1 Bang,SKT T1 Wolf,1,2018.02.11,2018 LCK 스프링 정규 시즌,20일차 1경기 1세트
KSV,오른,자르반 4세,조이,트리스타나,쉔,KSV CuVee,KSV Ambition,KSV Crown,KSV Ruler,KSV CoreJJ,0,2018.02.11,2018 LCK 스프링 정규 시즌,20일차 1경기 2세트
SKT T1,트런들,세주아니,카사딘,이즈리얼,타릭,SKT T1 Thal,SKT T1 Blossom,SKT T1 Faker,SKT T1 Bang,SKT T1 Wolf,1,2018.02.11,2018 LCK 스프링 정규 시즌,20일차 1경기 2세트
kt 롤스터,블라디미르,세주아니,탈리야,바루스,타릭,KT Smeb,KT Score,KT Pawn,KT Deft,KT Mata,1,2018.02.11,2018 LCK 스프링 정규 시즌,20일차 2경기 1세트
콩두 몬스터,나르,자르반 4세,말자하,이즈리얼,탐 켄치,KDM Roach,KDM Raise,KDM Edge,KDM SSol,KDM Secret,0,2018.02.11,2018 LCK 스프링 정규 시즌,20일차 2경기 1세트
kt 롤스터,카밀,자크,라이즈,케이틀린,브라움,KT Smeb,KT Score,KT Pawn,KT Deft,KT Mata,1,2018.02.11,2018 LCK 스프링 정규 시즌,20일차 2경기 2세트
콩두 몬스터,나르,카직스,탈리야,코그모,탐 켄치,KDM Roach,KDM U Jun,KDM Edge,KDM SSol,KDM Secret,0,2018.02.11,2018 LCK 스프링 정규 시즌,20일차 2경기 2세트
SKT T1,사이온,자크,갈리오,이즈리얼,브라움,SKT T1 Thal,SKT T1 Blossom,SKT T1 Faker,SKT T1 Bang,SKT T1 Wolf,1,2018.02.20,2018 LCK 스프링 정규 시즌,21일차 1경기 1세트
콩두 몬스터,오른,세주아니,루시안,바루스,타릭,KDM Roach,KDM U Jun,KDM Edge,KDM SSol,KDM Secret,0,2018.02.20,2018 LCK 스프링 정규 시즌,21일차 1경기 1세트
SKT T1,사이온,자르반 4세,라이즈,바루스,알리스타,SKT T1 Thal,SKT T1 Blossom,SKT T1 Faker,SKT T1 Bang,SKT T1 Wolf,0,2018.02.20,2018 LCK 스프링 정규 시즌,21일차 1경기 2세트
콩두 몬스터,초가스,카밀,조이,칼리스타,쉔,KDM Roach,KDM Raise,KDM Edge,KDM SSol,KDM Secret,1,2018.02.20,2018 LCK 스프링 정규 시즌,21일차 1경기 2세트
