product,alcohol
화요파렛트 (1100),0
화요파렛트 (~1000),0
X.Premium (선물세트) - 면세,1
X.Premium (선물세트) - 수출,1
X.Premium (선물세트) - 가정,1
X.Premium (선물세트) - 유흥,1
X.Premium (500 mL)-유흥,2
X.Premium (500 mL)-가정,2
X.Premium (500 mL)-수출,2
X.Premium (200 mL) - 업소,3
X.Premium (200 mL) - 가정,3
화요 200 3종 선물세트 1호-가정,5
화요3종 - 가정,5
화요3종 - 유흥,5
"화요 X-1(41,25) - 면세",5
"화요 X-4(X.P,41) - 면세",5
화요 200 3종 선물세트 1호-면세,5
화요17차례주-가정,5
화요 200 5종 선물세트 1호-가정,5
화요15750 - 유흥,4
화요17750 - 가정,17
화요17375 - 수출,17
화요17375 - 가정,17
화요17750 - 유흥,17
화요17375 (6본) - 유흥,17
화요17050 - 가정,17
화요17200 - 가정,17
화요17375 (6본) - 가정,17
17200(1본입) - 가정,17
화요17200 - 유흥,17
화요17200 - 수출,17
화요25375 - 가정,25
화요25375(2본입세트)-업소,25
화요25750 - 가정,25
화요25500(C) - 가정,25
화요25750 - 유흥,25
화요25500 - 수출,25
화요25500 - 가정,25
화요25375 (6본) - 가정,25
화요25375 (6본) - 유흥,25
화요 252M세트 - 업소,25
화요25500 - 유흥,25
화요 25375(3본입세트) - 가정,25
화요25200 - 가정,25
화요25050 - 가정,25
화요25500(H) - 가정,25
화요25375(V) - 가정,25
화요 252M세트 - 가정,25
2575정병 - 가정,25
화요25375(2본입세트)-가정,25
25200(1본입) - 가정,25
화요25750 - 면세,25
화요25200 - 유흥,25
화요25375 - 수출,25
화요41500 - 가정,41
화요41750 - 가정,41
화요41375 - 수출,41
화요41750 - 면세,41
화요41500 - 유흥,41
화요41200 - 가정,41
화요41375 (6본) - 유흥,41
화요41750 - 수출,41
화요41500 - 수출,41
화요41750 - 유흥,41
화요41200 - 유흥,41
화요41차례주-가정,41
화요41375 (6본) - 가정,41
화요41050 - 가정,41
4175정병 - 가정,41
화요41375 - 가정,41
화요53500(용문/블랙)-가정,53
화요53500(용문/블랙)-유흥,53
화요53750(용문/블랙)-유흥,53
화요53200(용문/블랙)-가정,53
화요53750(용문/블랙)-가정,53
화요53750(용문/블랙)-면세,53
화요53200(용문/블랙)-업소,53
