date,quantity
201501,5
201502,35
201503,20
201504,40
201505,5
201506,55
201507,20
201508,30
201509,55
201510,5
201511,25
201512,25
201601,20
201602,5
201603,30
201604,25
201605,10
201606,10
201607,5
201608,15
201609,50
201610,10
201611,35
201612,20
201701,15
201702,25
201703,20
201704,20
201705,10
201706,30
201707,30
201708,10
201709,135
201710,10
201712,15
201801,5
201803,30
201804,10
201805,25
201806,25
201807,10
201808,15
201809,65
201810,10
201811,5
201812,10
201902,5
201903,5
201904,35
201907,5
201908,10
201909,20
201910,120
