date,quantity
201603,1000
201606,70
201607,90
201608,52
201609,219
201610,78
201611,76
201612,1014
201701,151
201702,-704
201703,220
201704,105
201705,96
201706,125
201707,144
201708,103
201709,129
201710,114
201711,120
201712,250
201801,205
201802,122
201803,153
201804,163
201805,139
201806,168
201807,149
201808,345
201809,192
201810,119
201811,194
201812,394
201901,330
201902,165
201903,235
201904,326
201905,279
201906,295
201907,501
201908,354
201909,360
201910,186
201911,12
201912,32
202001,48
202002,93
