date,quantity
201501,38
201502,74
201503,74
201504,72
201505,110
201506,78
201507,60
201508,68
201509,82
201510,98
201511,71
201512,52
201601,51
201602,87
201603,66
201604,73
201605,144
201606,120
201607,109
201608,75
201609,96
201610,110
201611,152
201612,171
201701,48
201702,52
201703,150
201704,79
201705,187
201706,115
201707,96
201708,162
201709,54
201710,175
201711,68
201712,183
201801,111
201802,42
201803,116
201804,103
201805,144
201806,77
201807,96
201808,104
201809,151
201810,55
201811,97
201812,334
201901,130
201902,66
201903,244
201904,252
201905,155
201906,156
201907,96
201908,315
201909,189
201910,182
201911,396
201912,222
202001,312
202002,162
