date,quantity
201501,70
201502,149
201503,86
201504,93
201505,105
201506,67
201507,81
201508,66
201509,244
201510,54
201511,128
201512,191
201601,188
201602,45
201603,231
201604,151
201605,123
201606,164
201607,159
201608,143
201609,233
201610,72
201611,96
201612,173
201701,244
201702,136
201703,261
201704,143
201705,86
201706,157
201707,99
201708,60
201709,148
201710,72
201711,84
201712,99
201801,195
201802,242
201803,132
201804,85
201805,191
201806,69
201807,88
201808,206
201809,187
201810,125
201811,109
201812,164
201901,172
201902,142
201903,185
201904,125
201905,148
201906,124
201907,135
201908,152
201909,165
201910,131
201911,128
201912,281
202001,730
202002,200
