date,quantity
201501,90
201502,42
201503,120
201504,120
201505,30
201506,180
201507,90
201510,90
201511,90
201512,30
201601,270
201602,240
201603,240
201604,60
201606,120
201607,120
201608,120
201609,180
201610,120
201611,120
201612,210
201701,210
201702,180
201703,120
201704,240
201705,180
201706,60
201707,180
201708,240
201709,180
201710,90
201711,150
201712,90
201801,210
201802,156
201803,270
201804,156
201805,210
201806,150
201807,210
201808,240
201809,120
201810,300
201811,120
201812,210
201901,360
201902,150
201903,270
201904,210
201905,120
201906,390
201907,162
201908,240
201909,126
201910,264
201911,234
201912,174
202001,1752
202002,252
