date,quantity
201501,55
201502,58
201503,24
201504,54
201505,40
201506,47
201507,21
201508,29
201509,94
201510,56
201511,26
201512,109
201601,23
201602,-2
201603,30
201604,25
201605,14
201606,19
201607,27
201608,18
201609,33
201610,20
201611,44
201612,14
201701,7
201702,21
201703,12
201704,50
201705,15
201706,12
201707,13
201709,22
201710,6
201711,26
201712,35
201801,13
201802,116
201803,16
201804,6
201805,0
201806,36
201807,3
201808,3
201809,14
201810,19
201811,69
201812,1
201901,62
201902,27
201903,20
201904,6
201905,8
201906,28
201907,11
201908,59
201909,1
201910,54
201911,56
201912,92
202001,20
202002,26
