date,quantity
201501,840
201502,2940
201503,180
201506,300
201507,60
201508,120
201509,180
201510,120
201511,360
201512,1620
201601,60
201602,120
201604,240
201606,180
201607,180
201608,474
201609,1020
201610,360
201611,480
201612,1020
201701,1320
201702,900
201703,360
201704,528
201705,960
201706,834
201707,300
201708,720
201709,720
201710,840
201711,1170
201712,360
201801,660
201802,1290
201803,420
201804,720
201805,900
201806,780
201807,900
201810,2280
201811,783
201812,1380
201901,2100
201902,1020
201903,600
201904,1380
201905,540
201906,660
201907,954
201908,1620
201909,1500
201910,1500
201911,1560
201912,1800
