date,quantity
201601,120
201602,300
201603,60
201604,120
201605,0
201606,120
201610,30
201611,270
201612,90
201701,240
201702,180
201703,210
201704,360
201705,270
201706,120
201707,240
201708,210
201709,420
201710,120
201711,462
201712,180
201801,180
201802,300
201803,300
201804,330
201805,240
201806,420
201807,270
201808,240
201809,270
201810,390
201811,480
201812,180
201901,300
201902,300
201903,300
201904,120
201905,300
201906,330
201907,390
201908,210
201909,186
201910,390
201911,450
201912,240
202001,456
202002,150
