date,quantity
201501,1368
201502,1266
201503,1470
201504,5142
201505,1644
201506,864
201507,1806
201508,1716
201509,1650
201510,1728
201511,1884
201512,2976
201601,1968
201602,2352
201603,2268
201604,2250
201605,2016
201606,1488
201607,2412
201608,1782
201609,2802
201610,1572
201611,1314
201612,1350
201701,1758
201702,1410
201703,1692
201704,900
201705,1188
201706,2614
201707,2028
201708,2838
201709,3368
201710,3262
201711,4002
201712,5404
201801,3827
201802,5646
201803,4566
201804,3570
201805,5934
201806,3618
201807,3859
201808,3618
201809,4855
201810,3510
201811,4284
201812,7824
201901,4692
201902,4224
201903,4620
201904,4650
201905,4290
201906,4254
201907,3672
201908,5040
201909,3936
201910,4170
201911,7226
201912,4258
202001,21240
202002,7682
