date,quantity
201501,156
201502,90
201503,60
201504,114
201505,222
201506,114
201507,48
201508,162
201509,29
201510,78
201511,204
201512,258
201601,72
201602,30
201603,72
201604,114
201605,48
201606,24
201607,54
201608,138
201609,102
201610,23
201611,48
201612,108
201701,84
201702,30
201703,84
201704,54
201705,72
201706,-36
201707,60
201708,144
201709,114
201710,66
201711,48
201712,120
201801,108
201802,126
201803,60
201804,156
201805,138
201806,168
201807,36
201808,54
201809,240
201810,120
201811,198
201812,168
201901,150
201902,114
201903,276
201904,198
201905,240
201906,198
201907,138
201908,120
201909,174
201910,132
201911,180
201912,204
202001,504
202002,276
