date,quantity
201601,8844
201602,15702
201603,27415
201604,31601
201605,39300
201606,37614
201607,41686
201608,40180
201609,42360
201610,44232
201611,55302
201612,81204
201701,29706
201702,37404
201703,48330
201704,48120
201705,49208
201706,52152
201707,46530
201708,49530
201709,57696
201710,42720
201711,64759
201712,128856
201801,34224
201802,36132
201803,48534
201804,61896
201805,74742
201806,76530
201807,65880
201808,65418
201809,62616
201810,69834
201811,102702
201812,126143
201901,49117
201902,52224
201903,67362
201904,77905
201905,72168
201906,118470
201907,65538
201908,64518
201909,66696
201910,79272
201911,159444
201912,79932
202001,147552
202002,60678
