date,quantity
201501,1784
201502,2290
201503,1509
201504,1749
201505,1848
201506,1381
201507,1474
201508,1331
201509,2331
201510,2151
201511,1787
201512,3606
201601,1568
201602,2148
201603,1364
201604,1776
201605,2037
201606,1786
201607,1723
201608,2381
201609,566
201610,609
201611,2512
201612,4314
201701,1376
201702,2503
201703,28402
201704,2841
201705,4993
201706,3490
201707,2415
201708,3900
201709,4808
201710,3529
201711,4875
201712,11682
201801,4102
201802,5990
201803,7524
201804,6733
201805,6642
201806,4739
201807,6154
201808,6723
201809,12839
201810,7788
201811,8703
201812,10160
201901,13510
201902,9034
201903,10497
201904,11109
201905,9599
201906,10008
201907,10197
201908,10164
201909,12131
201910,13923
201911,12499
201912,16306
202001,36448
202002,13548
