date,quantity
201504,25080
201505,8880
201506,10800
201507,9156
201508,13920
201509,804
201510,1116
201511,384
201603,17112
201604,10044
201605,8040
201606,8796
201607,6396
201608,19440
201609,13740
201703,13296
201704,18780
201705,16500
201706,9840
201707,7584
201708,9096
201709,5772
201710,4164
201711,6456
201712,1380
201802,360
201803,8844
201804,27216
201805,13968
201806,14844
201807,6432
201808,8772
201809,8892
201810,3060
201811,516
201812,420
201903,15312
201904,10032
201905,19116
201906,17676
201907,13008
201908,5616
201909,3936
201910,7596
201911,1848
