date,quantity
201501,52
201502,677
201503,22
201504,29
201505,21
201506,24
201507,30
201508,129
201509,1073
201510,67
201511,27
201512,612
201601,233
201602,88
201603,438
201604,10
201605,-54
201606,170
201607,40
201608,72
201609,718
201610,11
201611,12
201612,271
201701,407
201702,68
201703,30
201704,16
201705,32
201706,42
201707,24
201708,13
201709,594
201710,80
201711,53
201712,159
201801,242
201802,347
201803,2
201804,20
201805,25
201806,87
201807,34
201808,96
201809,1578
201810,-292
201811,14
201812,41
201901,633
201902,40
201903,42
201904,47
201905,42
201906,42
201907,48
201908,744
201909,391
201910,50
201911,35
201912,305
202001,942
202002,63
