date,quantity
201501,390
201502,24
201503,12
201504,504
201506,30
201507,696
201508,12
201509,54
201510,60
201511,186
201512,540
201601,516
201602,42
201603,954
201604,66
201605,6
201606,12
201607,318
201608,12
201609,48
201610,204
201611,318
201701,6
201702,6
201703,324
201704,24
201705,6
201707,6
201708,330
201709,318
201710,96
201711,378
201712,36
201801,30
201802,468
201803,522
201804,318
201805,48
201806,126
201807,24
201808,180
201809,426
201811,312
201812,18
201901,6
201902,444
201903,2136
201904,66
201905,180
201906,12
201907,84
201908,66
201909,156
201910,78
201911,702
201912,138
202001,504
202002,192
