date,quantity
201501,1020
201502,1462
201503,360
201504,1140
201505,780
201506,840
201507,480
201508,600
201509,500
201510,540
201511,504
201512,420
201601,214
201602,420
201603,120
201604,300
201605,60
201606,480
201607,120
201608,360
201609,20
201610,360
201611,240
201612,444
201701,180
201702,24
201703,480
201704,96
201705,264
201706,192
201707,24
201708,156
201709,720
201710,180
201711,180
201712,300
201801,168
201802,282
201803,360
201804,36
201805,264
201806,300
201807,312
201808,120
201809,156
201810,396
201811,192
201812,108
201901,624
201902,168
201903,216
201904,408
201905,360
201906,396
201907,156
201908,348
201909,220
201910,336
201911,252
201912,300
202001,72
202002,264
