date,quantity
201606,42
201607,30
201608,340
201609,346
201610,152
201611,115
201612,294
201701,258
201702,276
201703,138
201704,204
201705,68
201706,225
201707,54
201708,211
201709,158
201710,78
201711,258
201712,98
201801,342
201802,465
201803,108
201804,84
201805,59
201806,162
201807,172
201808,264
201809,95
201810,48
201811,246
201812,141
201901,100
201902,186
201903,204
201904,153
201905,113
201906,124
201907,294
201908,129
201909,246
201910,316
201911,120
201912,336
202001,1124
202002,139
