date,quantity
201501,60
201502,12
201504,216
201505,180
201506,120
201507,300
201508,384
201509,360
201510,408
201511,312
201512,420
201601,480
201602,360
201603,600
201604,120
201605,240
201606,660
201607,360
201608,504
201609,480
201610,360
201611,360
201612,480
201701,480
201702,360
201703,240
201704,360
201705,360
201706,120
201707,360
201708,360
201709,780
201710,420
201711,780
201712,360
201801,720
201802,630
201803,600
201804,300
201805,762
201806,450
201807,780
201808,780
201809,804
201810,912
201811,900
201812,570
201901,1176
201902,600
201903,892
201904,960
201905,624
201906,1020
201907,744
201908,864
201909,618
201910,1104
201911,684
201912,660
202001,1464
202002,396
