date,quantity
201501,1
201502,30
201503,24
201504,42
201505,22
201506,23
201507,2
201508,12
201509,45
201510,40
201511,12
201512,13
201601,21
201602,72
201603,66
201604,9
201605,26
201606,24
201607,2
201608,24
201609,8
201610,22
201611,20
201612,23
201701,17
201702,2
201703,3
201704,1
201705,14
201706,6
201707,102
201708,16
201709,61
201711,16
201712,60
201802,13
201803,-30
201804,-12
201805,41
201806,11
201807,24
201809,1
201810,12
201811,20
201812,48
201901,7
201902,6
201903,16
201904,6
201905,12
201906,18
201907,0
201908,17
201909,-15
201910,6
201912,6
202001,36
