구분1,구분2,거래처코드,도매장명,품목,개수,매출금액
대형마트,이마트,372,내성기업,화요17200 - 가정,0,0
대형마트,이마트,372,내성기업,화요17375 (6본) - 가정,0,0
대형마트,이마트,372,내성기업,화요25200 - 가정,0,0
대형마트,이마트,372,내성기업,화요25375 (6본) - 가정,0,0
대형마트,이마트,372,내성기업,화요25750 - 가정,0,0
대형마트,이마트,372,내성기업,화요41200 - 가정,0,0
대형마트,이마트,372,내성기업,화요41375 (6본) - 가정,0,0
중형마트,"이마트
에브리데이",3665,아신,화요25375 (6본) - 가정,0,0
중형마트,"이마트
에브리데이",3665,아신,화요41375 (6본) - 가정,0,0
중형마트,"이마트
에브리데이",3665,아신,합 계,0,0
중형마트,"이마트
에브리데이",3678,마당쇠유통,화요17375 (6본) - 가정,0,0
중형마트,"이마트
에브리데이",3678,마당쇠유통,화요25375 (6본) - 가정,0,0
중형마트,"이마트
에브리데이",3678,마당쇠유통,화요41375 (6본) - 가정,0,0
중형마트,"이마트
에브리데이",3678,마당쇠유통,합 계,0,0
중형마트,"이마트
에브리데이",7071,주식회사중앙체인,화요17375 (6본) - 가정,0,0
중형마트,"이마트
에브리데이",7071,주식회사중앙체인,화요25375 (6본) - 가정,0,0
중형마트,"이마트
에브리데이",7071,주식회사중앙체인,화요41375 (6본) - 가정,0,0
중형마트,"이마트
에브리데이",7071,주식회사중앙체인,합 계,0,0
중형마트,"이마트
에브리데이",216,원체인,화요17375 (6본) - 가정,0,0
중형마트,"이마트
에브리데이",216,원체인,화요25375 (6본) - 가정,0,0
중형마트,"이마트
에브리데이",216,원체인,합 계,0,0
중형마트,"농협
하나로마트",1527,"농협 하나로유통 중부사업소(평택센터)
",화요17375 (6본) - 가정,0,0
중형마트,"농협
하나로마트",1527,"농협 하나로유통 중부사업소(평택센터)
",화요25375 (6본) - 가정,0,0
중형마트,"농협
하나로마트",1527,"농협 하나로유통 중부사업소(평택센터)
",화요25375 - 가정,0,0
중형마트,"농협
하나로마트",1527,"농협 하나로유통 중부사업소(평택센터)
",화요41375 (6본) - 가정,0,0
중형마트,"농협
하나로마트",1527,"농협 하나로유통 중부사업소(평택센터)
",화요41375 - 가정,0,0
중형마트,"농협
하나로마트",1527,"농협 하나로유통 중부사업소(평택센터)
",화요25375(2본입세트)-가정,0,0
중형마트,"농협
하나로마트",1527,"농협 하나로유통 중부사업소(평택센터)
",화요17차례주-가정,0,0
중형마트,"농협
하나로마트",1527,"농협 하나로유통 중부사업소(평택센터)
",X.Premium (500 mL)-가정,0,0
중형마트,"농협
하나로마트",1527,"농협 하나로유통 중부사업소(평택센터)
",화요53500(용문/블랙)-가정,0,0
중형마트,"농협
하나로마트",7095,(주)농협하나로유통 강원지사,화요17375 (6본) - 가정,0,0
중형마트,"농협
하나로마트",7095,(주)농협하나로유통 강원지사,화요25375 (6본) - 가정,0,0
중형마트,"농협
하나로마트",7095,(주)농협하나로유통 강원지사,화요41375 (6본) - 가정,0,0
중형마트,"농협
하나로마트",7095,(주)농협하나로유통 강원지사,화요41375 - 가정,0,0
중형마트,"농협
하나로마트",7095,(주)농협하나로유통 강원지사,화요25375 - 가정,0,0
중형마트,"농협
하나로마트",7096,(주)농협하나로유통 광주물류센터,화요17375 (6본) - 가정,0,0
중형마트,"농협
하나로마트",7096,(주)농협하나로유통 광주물류센터,화요25375 (6본) - 가정,0,0
중형마트,"농협
하나로마트",7096,(주)농협하나로유통 광주물류센터,화요41375 (6본) - 가정,0,0
중형마트,"농협
하나로마트",7096,(주)농협하나로유통 광주물류센터,화요25375 - 가정,0,0
중형마트,"농협
하나로마트",7096,(주)농협하나로유통 광주물류센터,화요41375 - 가정,0,0
중형마트,"농협
하나로마트",7097,(주)농협하나로유통 경남지사,화요17375 (6본) - 가정,0,0
중형마트,"농협
하나로마트",7097,(주)농협하나로유통 경남지사,화요25375 (6본) - 가정,0,0
중형마트,"농협
하나로마트",7097,(주)농협하나로유통 경남지사,화요25375 - 가정,0,0
중형마트,"농협
하나로마트",7097,(주)농협하나로유통 경남지사,화요41375 (6본) - 가정,0,0
중형마트,"농협
하나로마트",7097,(주)농협하나로유통 경남지사,화요41375 - 가정,0,0
중형마트,"농협
하나로마트",7098,(주)농협하나로유통경북지사군위물류센터,화요25375 (6본) - 가정,0,0
중형마트,"농협
하나로마트",7098,(주)농협하나로유통경북지사군위물류센터,화요17375 (6본) - 가정,0,0
중형마트,"농협
하나로마트",7098,(주)농협하나로유통경북지사군위물류센터,화요25375 - 가정,0,0
중형마트,"농협
하나로마트",7098,(주)농협하나로유통경북지사군위물류센터,화요41375 (6본) - 가정,0,0
중형마트,"농협
하나로마트",7098,(주)농협하나로유통경북지사군위물류센터,합 계,0,0
중형마트,하모니마트,813,씨에스유통(주)광릉센타,화요17375 - 가정,0,0
